The Woman in Black 2: Angel of Death (2014),42,Drama/Horror/Thriller,98 min,Helen McCrory/Jeremy Irvine/Phoebe Fox/Leanne Best
A Most Violent Year (2014),79,Action/Crime/Drama/Thriller,125 min,Oscar Isaac/Jessica Chastain/David Oyelowo/Alessandro Nivola
Leviafan (2014),92,Drama,140 min,Aleksey Serebryakov/Elena Lyadova/Roman Madyanov/Vladimir Vdovichenkov
[REC] 4: Apocalipsis (2014),53,Action/Horror/Thriller,95 min,Manuela Velasco/Paco Manzanedo/Héctor Colomé/Ismael Fritschi
The Search for General Tso (2014),72,Documentary/Comedy/History/Mystery,71 min,Ian Cheney
Taken 3 (2014),26,Action/Thriller,109 min,Liam Neeson/Forest Whitaker/Maggie Grace/Famke Janssen
Die geliebten Schwestern (2014),66,Drama/History/Romance,138 min,Hannah Herzsprung/Florian Stetter/Henriette Confurius/Claudia Messner
Boven is het stil (2013),72,Drama,93 min,Jeroen Willems/Henri Garcin/Wim Opbrouck/Martijn Lakemeier
Paddington (2014),77,Comedy/Family,95 min,Hugh Bonneville/Sally Hawkins/Julie Walters/Jim Broadbent
The Wedding Ringer (2015),35,Comedy,101 min,Kevin Hart/Josh Gad/Kaley Cuoco/Affion Crockett
Blackhat (2015),51,Action/Crime/Drama/Mystery/Thriller,133 min,Chris Hemsworth/Viola Davis/Wei Tang/Leehom Wang
Still Alice (2014),72,Drama,101 min,Julianne Moore/Alec Baldwin/Kristen Stewart/Kate Bosworth
Spare Parts (2015),50,Drama,114 min,George Lopez/Jamie Lee Curtis/Carlos PenaVega/Marisa Tomei
Match (2014),62,Comedy/Drama,92 min,Patrick Stewart/Carla Gugino/Matthew Lillard/Yanis Macheboeuf
Little Accidents (2014),56,Drama,105 min,Elizabeth Banks/Boyd Holbrook/Jacob Lofland/Josh Lucas
Son of a Gun (2014),48,Action/Crime/Drama/Thriller,102 min,Ewan McGregor/Brendan Kerkvliet/Brenton Thwaites/Alicia Vikander
The Boy Next Door (2015),30,Mystery/Thriller,91 min,Jennifer Lopez/Ryan Guzman/Kristin Chenoweth/John Corbett
Mortdecai (2015),27,Action/Comedy/Mystery/Romance,107 min,Johnny Depp/Gwyneth Paltrow/Ewan McGregor/Olivia Munn
Black Sea (2014),62,Adventure/Thriller,114 min,Jude Law/Scoot McNairy/Ben Mendelsohn/David Threlfall
Strange Magic (2015),25,Animation/Family/Fantasy/Musical,99 min,Evan Rachel Wood/Elijah Kelley/Kristin Chenoweth/Maya Rudolph
Cake (2014),49,Drama,102 min,Jennifer Aniston/Adriana Barraza/Anna Kendrick/Sam Worthington
Song One (2014),48,Drama/Music,86 min,Anne Hathaway/Johnny Flynn/Lola Kirke/Mary Steenburgen
Mommy (2014),74,Drama,139 min,Anne Dorval/Antoine-Olivier Pilon/Suzanne Clément/Patrick Huard
Red Army (2014),83,Documentary/Biography/History/Sport,84 min,Viacheslav Fetisov/Scotty Bowman/Mark Deakins/Anatoli Karpov
The Duke of Burgundy (2014),87,Drama,104 min,Sidse Babett Knudsen/Monica Swinn/Chiara D'Anna/Kata Bartsch
Black or White (2014),45,Drama,121 min,Kevin Costner/Octavia Spencer/Gillian Jacobs/Anthony Mackie
Project Almanac (2015),47,Sci-Fi/Thriller,106 min,Amy Landecker/Sofia Black-D'Elia/Virginia Gardner/Jonny Weston
The Loft (2014),24,Mystery/Romance/Thriller,108 min,Karl Urban/James Marsden/Wentworth Miller/Eric Stonestreet
Wild Card (2015),40,Action/Crime/Drama/Thriller,92 min,Jason Statham/Michael Angarano/Dominik García-Lorido/Milo Ventimiglia
Amira & Sam (2014),58,Comedy/Drama/Romance,90 min,Martin Starr/Dina Shihabi/Paul Wesley/Laith Nakli
Timbuktu (2014),92,Drama,97 min,Ibrahim Ahmed/Abel Jafri/Toulou Kiki/Layla Walet Mohamed
Bande de filles (2014),85,Drama,113 min,Karidja Touré/Assa Sylla/Lindsay Karamoh/Mariétou Touré
